order_id,order_date,customer_id,order_status
88525,5/28/2012,2,CLOSED
88522,07-07-2010,3,COMPLETED
88523,7/27/2011,3,CLOSED
88523,7/27/2011,3,CLOSED
88523,7/27/2011,3,CLOSED
88524,11-09-2011,3,CANCELLED
88526,07-01-2013,3,REJECTED
90193,12/13/2010,5,CLOSED
90197,05-12-2012,5,REJECTED
90194,5/26/2011,6,COMPLETED
90200,12/29/2012,6,COMPLETED
90200,12/29/2012,6,COMPLETED
90200,12/29/2012,6,COMPLETED
90198,10/30/2012,7,COMPLETED
90199,12/25/2012,8,CANCELLED
90199,12/25/2012,9,CANCELLED
90195,10-04-2011,10,COMPLETED
90192,8/15/2010,11,COMPLETED
90196,2/24/2012,12,COMPLETED
86838,05-12-2010,14,CANCELLED
86838,05-12-2010,14,CANCELLED
86838,05-12-2010,14,CANCELLED
86838,05-12-2010,14,CANCELLED
86845,05-12-2013,14,CANCELLED
86837,04-08-2010,15,COMPLETED
86839,5/28/2010,15,CANCELLED
86840,12-04-2011,15,CANCELLED
86841,4/29/2012,15,CANCELLED
86842,1/19/2013,15,REJECTED
86843,1/21/2013,15,REJECTED
86836,02-12-2010,16,COMPLETED
86836,02-12-2010,16,COMPLETED
86844,02-12-2013,16,COMPLETED
90033,4/20/2011,17,REJECTED
90034,04-06-2012,17,COMPLETED
90031,5/15/2010,18,COMPLETED
90035,5/15/2012,18,COMPLETED
90035,5/15/2012,18,COMPLETED
90038,5/21/2013,18,CLOSED
90039,10-02-2013,18,REJECTED
90039,10-02-2013,18,REJECTED
90032,5/21/2010,19,CLOSED
90036,5/31/2012,20,CLOSED
90036,5/31/2012,20,CLOSED
90037,03-07-2013,20,CANCELLED
41793,5/15/2010,21,COMPLETED
42949,5/21/2010,21,CLOSED
42949,5/21/2010,21,CLOSED
55269,03-07-2011,21,CANCELLED
9895,4/20/2011,21,REJECTED
17860,04-06-2012,21,COMPLETED
26887,5/15/2012,21,COMPLETED
26887,5/15/2012,21,COMPLETED
50533,5/31/2012,21,CLOSED
50533,5/31/2012,21,CLOSED
18596,10-02-2013,21,REJECTED
18596,10-02-2013,21,REJECTED
87655,11-11-2011,23,COMPLETED
87655,11-11-2011,23,COMPLETED
87660,09-10-2012,23,CLOSED
87669,11/18/2013,23,REJECTED
87651,1/28/2010,24,COMPLETED
87651,1/28/2010,24,COMPLETED
87656,03-02-2012,24,CLOSED
87662,12/19/2012,24,COMPLETED
87663,1/13/2013,24,COMPLETED
87657,4/18/2012,25,COMPLETED
87657,4/18/2012,25,COMPLETED
87666,07-02-2013,25,COMPLETED
87666,07-02-2013,25,COMPLETED
87658,6/27/2012,26,CANCELLED
87667,09-02-2013,26,CLOSED
87670,12-11-2013,26,COMPLETED
87670,12-11-2013,26,COMPLETED
87652,11-02-2010,27,CLOSED
87659,07-12-2012,27,REJECTED
87659,07-12-2012,27,REJECTED
87661,10/26/2012,27,COMPLETED
87661,10/26/2012,27,COMPLETED
87668,11-02-2013,27,CLOSED
87653,1/22/2011,28,COMPLETED
87665,4/14/2013,28,COMPLETED
87654,1/30/2011,29,CLOSED
87664,1/30/2013,29,CLOSED
89206,08-11-2012,31,COMPLETED
89199,2/22/2010,32,COMPLETED
89200,3/27/2010,32,COMPLETED
89202,7/20/2010,32,CANCELLED
89203,09-12-2010,32,REJECTED
89204,10-06-2011,32,COMPLETED
89207,06-12-2013,32,COMPLETED
89201,6/15/2010,33,CLOSED
89201,6/15/2010,33,CLOSED
89205,1/26/2012,33,CANCELLED
89208,8/16/2013,33,COMPLETED
89208,8/16/2013,33,COMPLETED
